date,ensemble_pred,ensemble_vote_pred,ensemble_confidence,prob_class_0,prob_class_1,prob_class_2,prob_class_3
2001-01-10,3,3,0.9867125,0.0048708916,0.0029380715,0.005478546,0.9867125
2001-01-11,3,3,0.9899683,0.0032765644,0.0022050708,0.004550073,0.9899683
2001-01-12,3,3,0.98340386,0.006193372,0.0037693344,0.0066334694,0.98340386
2001-01-16,3,3,0.98712724,0.004750484,0.003072148,0.005050217,0.98712724
2001-01-17,3,3,0.99236244,0.0027473003,0.0018372904,0.0030530163,0.99236244
2001-01-18,3,3,0.992774,0.0024824424,0.0019429531,0.002800536,0.992774
2001-01-19,3,3,0.99304754,0.0023551034,0.001846905,0.002750432,0.99304754
2001-01-22,3,3,0.9951739,0.001735411,0.0013005399,0.0017901682,0.9951739
2001-01-23,3,3,0.9938987,0.0019332384,0.0015199763,0.0026480763,0.9938987
2001-01-24,3,3,0.9944382,0.0017639482,0.0014103735,0.0023874955,0.9944382
2001-01-25,0,0,0.30184954,0.30184954,0.2838092,0.15212381,0.26221743
2001-01-26,0,0,0.28648165,0.28648165,0.2812163,0.16112547,0.27117658
2001-01-29,2,2,0.9403289,0.011658903,0.011841985,0.9403289,0.036170255
2001-01-30,2,2,0.92023665,0.021953696,0.020033376,0.92023665,0.037776303
2001-01-31,2,2,0.94916195,0.008424702,0.008730938,0.94916195,0.033682447
2001-02-01,2,2,0.9405108,0.013866499,0.014112998,0.9405108,0.031509653
2001-02-02,2,2,0.9494021,0.010100682,0.010288908,0.9494021,0.030208275
2001-02-05,1,1,0.32717305,0.3190979,0.32717305,0.14241421,0.2113148
2001-02-06,2,2,0.93183136,0.013325743,0.012406425,0.93183136,0.04243638
2001-02-07,2,2,0.93118507,0.018653255,0.01713566,0.93118507,0.033026006
2001-02-08,2,2,0.9023712,0.024316275,0.02363295,0.9023712,0.049679607
2001-02-09,0,0,0.33409548,0.33409548,0.30921844,0.16907996,0.18760611
2001-02-12,1,1,0.35225776,0.2976708,0.35225776,0.15751614,0.1925553
2001-02-13,1,0,0.3258239,0.30929953,0.3258239,0.18853682,0.17633975
2001-02-14,0,0,0.33647332,0.33647332,0.31087452,0.17462766,0.17802449
