date,mlp_wide_vote,wide_deep_vote,resnet_mlp_vote,mlp_small_vote,se_mlp_vote,stacked_gru_ln_vote,ensemble_vote_pred,Date,Close,High,Low,Open,Volume,forward_return_10,forward_return_15,forward_return_30,forward_return_60,close_diff_next_day,target_period,forward_binary_10,forward_binary_15,forward_binary_30,forward_binary_60,predicted_horizon_days,predicted_return
2022-04-04,3,3,3,3,3,3,3,2022-04-04,4582.64013671875,4583.5,4539.2099609375,4547.97021484375,4547350000,0.0269889083739904,0.0975857257967374,0.1207650139450069,0.2106156524808002,57.52001953125,3,0,0,0,1,10,0.0269889083739904
2022-04-05,3,3,3,3,3,3,3,2022-04-05,4525.1201171875,4593.4501953125,4514.169921875,4572.4501953125,4800620000,0.0147260130730977,0.0815400145878919,0.1532847214924058,0.1829358577614575,43.97021484375,3,0,0,0,1,10,0.0147260130730977
2022-04-06,3,3,3,3,3,3,3,2022-04-06,4481.14990234375,4503.93994140625,4450.0400390625,4494.169921875,4986830000,0.0199127249223622,0.0451661579810496,0.1487800823601188,0.1695885900373361,-19.06005859375,3,0,0,0,1,10,0.0199127249223622
2022-04-07,3,3,3,3,3,3,3,2022-04-07,4500.2099609375,4521.16015625,4450.2998046875,4474.64990234375,4821490000,0.0534742396073431,0.089130205373477,0.153497712855674,0.170381336539541,11.93017578125,3,0,0,0,1,10,0.0534742396073431
2022-04-08,3,3,3,3,3,3,3,2022-04-08,4488.27978515625,4520.41015625,4474.60009765625,4494.14990234375,4083200000,0.0447286534657112,0.0801129888799558,0.1294821730497011,0.150068325991928,75.75,3,0,0,0,1,10,0.0447286534657112
2022-04-11,3,3,3,3,3,3,3,2022-04-11,4412.52978515625,4464.35009765625,4408.3798828125,4462.64013671875,4266290000,0.0568426850789574,0.0567718695326826,0.1195108961663378,0.131597822670622,15.07958984375,3,0,0,0,1,10,0.0568426850789574
2022-04-12,3,3,3,3,3,3,3,2022-04-12,4397.4501953125,4471.0,4381.33984375,4437.58984375,4152090000,0.051025878920496,0.0226224254401283,0.1052396661495533,0.140882120910871,-49.1396484375,3,0,0,0,1,10,0.051025878920496
2022-04-13,0,0,0,0,0,0,0,2022-04-13,4446.58984375,4453.919921875,4392.7001953125,4394.2998046875,3828150000,0.0371055029154518,0.0722761306943891,0.0958021379451297,0.1643945184075623,54.0,3,0,0,0,1,60,0.1643945184075623
2022-04-14,3,3,3,3,3,3,3,2022-04-14,4392.58984375,4460.4599609375,4390.77001953125,4449.1201171875,4083090000,0.0630842383292369,0.0652990076498591,0.0563578812589271,0.1554034715055288,0.89990234375,3,0,0,0,1,10,0.0630842383292369
2022-04-18,3,3,3,3,3,3,3,2022-04-18,4391.68994140625,4410.31005859375,4370.2998046875,4385.6298828125,3910490000,0.056868460948944,0.1003322155900627,0.0628099282930876,0.1586411064812776,-70.52001953125,3,0,0,0,1,10,0.056868460948944
2022-04-19,0,0,0,0,0,0,0,2022-04-19,4462.2099609375,4471.02978515625,4390.6298828125,4390.6298828125,4108120000,0.0686699449667966,0.115259720943617,0.0880174928467414,0.1550673703540865,2.759765625,3,0,0,0,1,60,0.1550673703540865
2022-04-20,0,0,0,0,0,0,0,2022-04-20,4459.4501953125,4488.2900390625,4448.759765625,4472.259765625,4290450000,0.0370404603379135,0.1332265036870372,0.0676664024277404,0.164088931081076,65.7900390625,3,0,0,0,1,60,0.164088931081076
2022-04-21,0,0,0,0,0,0,0,2022-04-21,4393.66015625,4512.93994140625,4384.47021484375,4489.169921875,4636890000,0.0595123628395379,0.117956903907711,0.0693969425822025,0.1160798085816514,121.88037109375,1,0,1,0,0,60,0.1160798085816514
2022-04-22,0,0,0,0,0,0,0,2022-04-22,4271.77978515625,4385.830078125,4267.6201171875,4385.830078125,4651940000,0.0359999289486772,0.0616045416738033,0.0364799603444694,0.0787595369842322,-24.34033203125,3,0,0,0,1,60,0.0787595369842322
2022-04-25,2,0,0,0,0,0,0,2022-04-25,4296.1201171875,4299.02001953125,4200.81982421875,4255.33984375,5240040000,0.0763873201559151,0.0718835798113994,0.032552355788995,0.0743120493239832,120.919921875,0,1,0,0,0,60,0.0743120493239832
2022-04-26,2,0,0,0,0,0,0,2022-04-26,4175.2001953125,4278.14013671875,4175.0400390625,4278.14013671875,4689970000,0.0435261104857667,0.0211184307553231,0.0144396250274496,0.0539097085839777,-8.759765625,3,0,0,0,1,60,0.0539097085839777
