date,voting_prediction,voting_confidence,voting_class,prob_60day,prob_30day,prob_15day,prob_10day,actual_return_60day,actual_return_30day,actual_return_15day,actual_return_10day,return_immediate,return_with_critic
0,10-day,0.995112975438436,3,0.0012971520977392,0.0013016043271629,0.0022882792124316,0.995112975438436,2.9911988,2.0002227,0.9757637,0.33380237,0.33380237,0.33380237
1,10-day,0.994926929473877,3,0.0012758789935484,0.0013443193195522,0.002452860666987,0.994926929473877,3.0904522,2.7479148,1.1111491,0.57041794,0.57041794,0.57041794
2,10-day,0.9912326435248056,3,0.002148281942027,0.0019965334642317,0.0046225212281569,0.9912326435248056,3.0534067,2.8426125,0.88470626,1.3233993,1.3233993,1.3233993
3,10-day,0.993787944316864,3,0.0016708861307582,0.0014274484209029,0.0031137198311625,0.993787944316864,2.7757788,3.4367971,1.2143618,1.8199105,1.8199105,1.8199105
4,10-day,0.9962377746899924,3,0.0010118756695192,0.0009540156177081,0.0017963363109932,0.9962377746899924,2.7246509,3.3319955,1.4368923,1.265969,1.265969,1.265969
5,10-day,0.9883420368035636,3,0.0033972692363022,0.0033210295829727,0.0049396428269877,0.9883420368035636,2.7947683,2.5276377,1.7618825,1.1540542,1.1540542,1.1540542
6,10-day,0.9809811015923818,3,0.0056269771096898,0.0055477157172087,0.0078442325175274,0.9809811015923818,2.8581688,2.6756005,1.7016798,1.2675905,1.2675905,1.2675905
7,10-day,0.9954734841982524,3,0.0012905743726605,0.0011626523855738,0.0020732932219592,0.9954734841982524,3.1205266,2.4366546,2.686251,1.0205021,1.0205021,1.0205021
8,10-day,0.99519748489062,3,0.0014660311032154,0.0012604330474156,0.0020760672729617,0.99519748489062,2.7616506,3.0152984,2.2858343,0.6471635,0.6471635,0.6471635
9,60-day,0.7352223098278046,0,0.7352223098278046,0.1751774574319521,0.072574414157619,0.0170258404687047,2.5885994,2.9351444,1.3781339,0.80507076,2.5885994,2.5885994
10,10-day,0.9959148069222769,3,0.0012584070595949,0.001216427583131,0.0016103336577846,0.9959148069222769,2.5988777,3.0190883,2.4752455,1.8268365,1.8268365,1.8268365
11,10-day,0.9964830974737804,3,0.0010982254770321,0.0007938190565255,0.0016248298197751,0.9964830974737804,2.3355138,2.5917645,2.2502232,1.560581,1.560581,1.560581
12,60-day,0.7096138099829356,0,0.7096138099829356,0.2021646052598953,0.0735319494269788,0.0146896288109322,2.0960388,2.4143393,1.6677516,1.9293873,2.0960388,2.0960388
13,60-day,0.7619841198126475,0,0.7619841198126475,0.1723137522737185,0.0534518309868872,0.0122502867598086,2.2164123,2.1604023,0.81556076,1.7522973,2.2164123,2.2164123
14,60-day,0.7588657140731812,0,0.7588657140731812,0.1577414187292257,0.0689860340207815,0.014406866626814,2.521257,1.9924742,2.0546565,1.3284974,2.521257,2.521257
15,60-day,0.6405654152234396,0,0.6405654152234396,0.2247112343708674,0.1127499633779128,0.0219734023946026,2.4046855,1.2906175,1.8805441,2.1194088,2.4046855,2.4046855
16,60-day,0.6531055221954981,0,0.6531055221954981,0.2037001724044481,0.1226644416650136,0.0205298471264541,2.4466624,1.4054229,2.7547889,1.9301721,2.4466624,2.4466624
17,60-day,0.6274111121892929,0,0.6274111121892929,0.1823607521752516,0.1707699590673049,0.0194581786636263,2.400328,1.853957,3.127301,2.2894633,2.400328,2.400328
18,60-day,0.674474686384201,0,0.674474686384201,0.1703356665869554,0.1361948102712631,0.0189948504169782,2.517295,1.4918373,3.5756576,1.3265172,2.517295,2.517295
